price,available,dateId,logementId,proprietaireId,localisationId
$85.00,t,d298eb5434,ed8f4b369c,956883,9eb3f6f293
$125.00,t,d298eb5434,08c180a1bd,5177328,9eb3f6f293
$975.00,t,d298eb5434,2221dbe1ae,16708587,9eb3f6f293
,f,d298eb5434,c6c2eae390,9851441,9eb3f6f293
$600.00,t,d298eb5434,8f0a4389ae,1452570,9eb3f6f293
,f,d298eb5434,666d4a988b,326758,9eb3f6f293
$80.00,t,d298eb5434,1559587bc4,2497928,9eb3f6f293
$42.00,t,d298eb5434,146add1f4c,4016632,9eb3f6f293
,f,d298eb5434,b94ca32f7e,2166277,f6e393a20d
$125.00,t,d298eb5434,e1e8b17ba4,5177328,9eb3f6f293
,f,d298eb5434,4969839ff1,239585,9eb3f6f293
$69.00,t,d298eb5434,64a7b7776a,4606439,9eb3f6f293
$195.00,t,d298eb5434,68e9360aac,19932967,9eb3f6f293
,f,d298eb5434,dbcecc5853,25899989,9eb3f6f293
$399.00,t,d298eb5434,39a66663a6,22372266,9eb3f6f293
$109.00,t,d298eb5434,66daf2596e,2983711,9eb3f6f293
,f,d298eb5434,d250e73082,9465817,9eb3f6f293
,f,d298eb5434,8604496921,25417834,9eb3f6f293
,f,d298eb5434,0eccd1c580,6170760,9eb3f6f293
,f,d298eb5434,aed0bdb9f2,32713558,9eb3f6f293
$110.00,t,d298eb5434,709bba6216,14100483,9eb3f6f293
$99.00,t,d298eb5434,1fe4dbca8e,21401856,9eb3f6f293
,f,d298eb5434,0b8cbecd70,46675077,9eb3f6f293
$75.00,t,d298eb5434,b395f68c32,51860756,9eb3f6f293
,f,d298eb5434,ec3c3116b3,33147763,9eb3f6f293
,f,d298eb5434,b909dfbba7,16708587,9eb3f6f293
,f,d298eb5434,d9bc4b63da,68155,9eb3f6f293
$42.00,t,d298eb5434,fb8e2e9b97,4016632,9eb3f6f293
,f,d298eb5434,5580e28904,3792761,9eb3f6f293
,f,d298eb5434,26ac3ec6ec,6184895,9eb3f6f293
,f,d298eb5434,77854e19eb,5177328,9eb3f6f293
$176.00,t,d298eb5434,4fc04dfdb0,5325329,9eb3f6f293
,f,d298eb5434,fafc17873b,31037494,9eb3f6f293
,f,d298eb5434,a5bc39a246,25906186,9eb3f6f293
,f,d298eb5434,cfa6de953b,8916363,9eb3f6f293
